source,family,contrast,status,left_CRPS,right_CRPS,delta,relative_reduction_percent,adjusted_low,adjusted_high,multiplicity_family_size,interpretation
weibo,hurdle,noise_minus_I0,available,124.124231434318,124.12622965314132,-0.0019982188233082353,0.0016098280185450342,-0.0356965623550445,0.029941873475039717,12,conditional supplementary contrast; not a pure capacity effect
weibo,hurdle,I1_minus_noise,available,121.28647976318896,124.124231434318,-2.8377516711290367,2.28621892626234,-5.212432863447748,-1.0498715249916077,12,conditional supplementary contrast; not a pure capacity effect
weibo,qrf,noise_minus_I0,available,101.94380228419817,100.99033609125792,0.953466192940256,-0.9441162687870097,-1.2554199273506481,4.802809612879493,12,conditional supplementary contrast; not a pure capacity effect
weibo,qrf,I1_minus_noise,available,96.64015231114873,101.94380228419817,-5.303649973049444,5.202523208094567,-10.531859399741032,-1.9051354493040964,12,conditional supplementary contrast; not a pure capacity effect
weibo,ngboost,noise_minus_I0,available,111.28277024609558,111.24949875847767,0.03327148761792298,-0.029907089909819717,-0.03642937801051264,0.07968988647267353,12,conditional supplementary contrast; not a pure capacity effect
weibo,ngboost,I1_minus_noise,available,110.48402780582009,111.28277024609558,-0.798742440275519,0.717759306772392,-1.4572606174131049,-0.2744377493495015,12,conditional supplementary contrast; not a pure capacity effect
seismic,hurdle,noise_minus_I0,available,52.06266508636641,52.03592971733114,0.026735369035273317,-0.05137867081552727,-0.0024061180212551704,0.055984530323308405,12,conditional supplementary contrast; not a pure capacity effect
seismic,hurdle,I1_minus_noise,available,45.022049664342774,52.06266508636641,-7.0406154220236346,13.523348085127807,-10.57300573449832,-4.832722819490595,12,conditional supplementary contrast; not a pure capacity effect
seismic,qrf,noise_minus_I0,available,42.659821985129724,42.875397847917014,-0.2155758627872857,0.5027961805787906,-0.5152684613460619,0.21237643039148682,12,conditional supplementary contrast; not a pure capacity effect
seismic,qrf,I1_minus_noise,available,39.058273657757326,42.659821985129724,-3.601548327372399,8.44248325421475,-4.5939463612014535,-2.64789612234088,12,conditional supplementary contrast; not a pure capacity effect
seismic,ngboost,noise_minus_I0,available,42.69673160573481,42.522489936973656,0.17424166876115382,-0.40976356045803186,-0.15985993244613664,0.7930267348314367,12,conditional supplementary contrast; not a pure capacity effect
seismic,ngboost,I1_minus_noise,available,39.43993673554542,42.69673160573481,-3.256794870189381,7.6277381141556795,-4.14475323397572,-2.3924956673882543,12,conditional supplementary contrast; not a pure capacity effect
