source,window_s,prefix_bin,roots,resampling_units,family,info,status,crps,zero_brier,median_abs_error,interval_score90,width90,coverage50,coverage80,coverage90,coverage95,msle_saved_median
weibo,900,1-2,982,889,ngboost,I1,available,55.54382797255933,1.4379840478357524e-05,61.074338085539715,921.4745417515275,143.32790224032587,0.48879837067209775,0.9124236252545825,0.9531568228105907,0.9765784114052953,0.9437262898801587
weibo,900,1-2,982,889,nb2_glm,I0,available,63.72878639657465,0.0070882869252364995,68.11914460285132,1044.7433808553972,346.69857433808556,0.8757637474541752,0.9816700610997964,0.9877800407331976,0.9928716904276986,1.321913831310396
weibo,900,1-2,982,889,nb2_glm,I1,available,61.35696108814926,0.005855712423136671,66.4633401221996,995.2169042769857,290.3085539714868,0.8513238289205702,0.9765784114052953,0.9867617107942973,0.9908350305498982,1.2105235803223642
weibo,900,1-2,982,889,poisson_glm,I0,available,60.79031259591894,1.1418135979069853e-22,63.67718940936864,1127.0997963340121,17.751527494908352,0.06924643584521385,0.12729124236252545,0.164969450101833,0.20162932790224034,1.0987981147551524
weibo,900,1-2,982,889,poisson_glm,I1,available,66.05609889251235,9.692876191836977e-15,69.20366598778004,1219.5325865580448,20.082484725050918,0.0560081466395112,0.11608961303462322,0.15478615071283094,0.1934826883910387,1.3287105847162755
weibo,900,1-2,982,889,empirical_window,I0,available,58.27795623037094,0.0001646944444444447,60.516293279022406,1088.376782077393,403.0,0.5692464358452138,0.9114052953156823,0.9928716904276986,0.994908350305499,0.91966042075399
weibo,900,1-2,982,889,conditional_empirical,I0,available,54.236720162932784,0.0,58.24541751527495,938.2729124236253,89.78004073319755,0.3564154786150713,0.814663951120163,0.8492871690427699,0.9562118126272913,0.8877116300994795
weibo,900,3-9,1720,1357,hurdle,I0,available,38.05460187780009,0.000647204267280355,42.063372093023254,488.278488372093,416.7436046511628,0.7174418604651163,0.9808139534883721,0.9889534883720931,0.9912790697674418,1.530451572237321
weibo,900,3-9,1720,1357,hurdle,I1,available,34.216915760544794,0.0006339983899360919,39.07732558139535,423.4796511627907,330.09593023255815,0.7034883720930233,0.9732558139534884,0.9837209302325581,0.9883720930232558,1.3621532266101053
weibo,900,3-9,1720,1357,qrf,I0,available,25.636201862048324,0.0006423294903481611,30.900968992248064,336.8800387596899,139.8218992248062,0.48468992248062015,0.8032945736434107,0.925,0.961046511627907,0.9354801422961698
