source,window_s,prefix_bin,roots,resampling_units,family,I0,I1,delta_I1_minus_I0,relative_reduction_percent,conditional_empirical,I1_minus_conditional_empirical,pointwise95_low,pointwise95_high,valid_bootstrap_replicates,interval_status
weibo,300,0,1622,1438,hurdle,71.88497432173146,71.89239305410997,0.007418732378504386,-0.010320282435261063,68.7993016029593,3.0930914511506713,-0.03157798295567274,0.04684682658352737,2000,exploratory_pointwise
weibo,300,0,1622,1438,qrf,67.25120252033518,67.25047993587827,-0.0007225844569129931,0.0010744558161523976,68.7993016029593,-1.5488216670810313,-0.0019439092462360903,0.000679327835494384,2000,exploratory_pointwise
weibo,300,0,1622,1438,ngboost,68.04355139521317,67.78974025096824,-0.2538111442449256,0.3730127823145746,68.7993016029593,-1.0095613519910684,-0.41202243931257493,-0.08767813356767096,2000,exploratory_pointwise
weibo,300,1-2,1516,1277,hurdle,54.10290850819965,52.64239985906981,-1.4605086491298458,2.699501171750285,49.13528443271764,3.507115426352179,-1.8541519393629728,-1.0324371474687482,2000,exploratory_pointwise
weibo,300,1-2,1516,1277,qrf,45.1236016609123,45.19489431826626,0.07129265735395997,-0.15799416431714342,49.13528443271764,-3.9403901144513753,-0.05035216625481748,0.18964121562799172,2000,exploratory_pointwise
weibo,300,1-2,1516,1277,ngboost,46.15724835130072,46.05984862061547,-0.09739973068524249,0.2110171948378481,49.13528443271764,-3.075435812102155,-0.30850058713558715,0.12058617693388013,2000,exploratory_pointwise
weibo,300,3-9,1251,934,hurdle,97.15901010862791,97.33563453873353,0.17662443010562673,-0.1817890383075671,96.24964092725817,1.0859936114753697,-1.137089974676165,2.0705685599934918,2000,exploratory_pointwise
weibo,300,3-9,1251,934,qrf,93.81807764809433,95.88351524945345,2.0654376013591254,-2.201534771482372,96.24964092725817,-0.3661256778047077,-0.5071188134243696,6.37139901104044,2000,exploratory_pointwise
weibo,300,3-9,1251,934,ngboost,99.57313213517371,98.17916932509091,-1.3939628100828032,1.399938698514025,96.24964092725817,1.9295283978327409,-2.1797103648358145,-0.721650412675278,2000,exploratory_pointwise
weibo,300,10-49,526,362,hurdle,324.78559192403765,323.5621425481722,-1.2234493758654648,0.3766944736118716,285.89211863117856,37.670023916993635,-7.297350430655636,3.118435277263671,2000,exploratory_pointwise
